Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,38,M/cycle 50cc and under
2,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,37,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47,Pedal cycle
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,81,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,82,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,78,Car
2,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Pedal cycle
3,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Car
1,Apr,10,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Bus or coach (17 or more passenger seats)
3,Apr,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Pedal cycle
2,Apr,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,44,Pedal cycle
3,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,72,Car
3,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Car
1,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,77,Bus or coach (17 or more passenger seats)
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,40,Car
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,25,Pedal cycle
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,21,Car
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,53,Car
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Car
1,Apr,17,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,1,Car
3,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,26,Car
3,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,37,Car
3,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,5,Car
3,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,2,Car
1,Apr,2,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,17,Motorcycle over 500cc
1,Apr,2,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,17,Motorcycle over 500cc
1,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,Bus or coach (17 or more passenger seats)
1,Apr,17,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,71,Bus or coach (17 or more passenger seats)
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30,Taxi/Private hire car
2,Apr,21,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,15,Motorcycle over 50cc and up to 125cc
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Motorcycle over 50cc and up to 125cc
2,Apr,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Car
2,Apr,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51,Car
2,Apr,21,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,52,Goods vehicle 7.5 tonnes mgw and over
3,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Fatal,Male,39,Car
3,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,34,Car
3,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Fatal,Male,16,Car
3,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Fatal,Male,12,Car
3,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,7,Car
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Car
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,11,Car
2,Apr,23,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,37,Car
1,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,36,Car
1,Apr,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25,Motorcycle over 125cc and up to 500cc
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,6,Pedal cycle
4,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,36,Car
4,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,28,Car
4,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,31,Car
2,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,45,Motorcycle over 500cc
2,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,33,Car
2,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car
2,Apr,0,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,18,Car
2,Apr,2,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,48,Car
2,Apr,2,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Car
1,Apr,20,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,18,Car
1,Apr,5,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car
1,Apr,5,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,24,Car
2,Apr,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Car
1,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,5,Bus or coach (17 or more passenger seats)
2,Apr,11,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,20,Goods vehicle 3.5 tonnes mgw and under
1,Apr,16,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Male,45,Bus or coach (17 or more passenger seats)
2,Apr,20,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Car
2,Apr,10,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,46,Taxi/Private hire car
2,Apr,10,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,52,Car
2,Apr,10,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,26,Taxi/Private hire car
2,Apr,10,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,18,Car
1,Apr,20,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,32,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Pedal cycle
1,Apr,19,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,64,Car
2,Apr,14,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,20,Pedal cycle
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Car
2,Apr,17,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,15,Pedal cycle
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,67,Car
2,Apr,7,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Female,51,Pedal cycle
1,Apr,16,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,32,Car
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Fatal,Male,16,Motorcycle over 50cc and up to 125cc
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,18,Car
2,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Pedal cycle
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,50,Car
1,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,43,Car
3,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,61,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,78,Other Vehicle 
1,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,12,Bus or coach (17 or more passenger seats)
1,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,45,Car
2,Apr,16,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car
2,Apr,16,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,48,Car
1,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,14,Car
1,Apr,13,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,Car
1,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,11,Car
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,68,Car
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,67,Car
1,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,16,Car
3,May,19,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Fatal,Male,34,Car
3,May,19,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,24,Car
1,May,0,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30,Car
2,May,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,46,Motorcycle over 500cc
2,May,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,62,Car
2,May,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,50,Car
2,May,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,16,Car
2,May,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,75,Car
2,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Pedal cycle
2,May,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car
2,May,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,Car
2,May,19,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,16,Car
2,May,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,60,Car
2,May,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,41,Car
2,May,8,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,16,Car
2,May,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car
1,May,10,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,26,Bus or coach (17 or more passenger seats)
2,May,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,74,Pedal cycle
2,May,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,22,Car
2,May,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,23,Car
2,May,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Car
1,May,4,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Car
1,May,21,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,Car
2,May,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,18,Motorcycle over 50cc and up to 125cc
2,May,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car
2,May,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,60,Car
2,May,16,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,61,Car
1,May,12,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,25,Other Vehicle 
1,May,12,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,38,Other Vehicle 
2,May,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,44,Car
2,May,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car
3,May,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,29,Car
1,May,0,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,18,Car
1,May,0,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,18,Car
1,May,9,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,57,Car
2,May,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Car
2,May,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Motorcycle over 500cc
2,May,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car
2,May,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,2,Car
2,May,10,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,34,Car
2,May,10,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,22,Car
1,May,15,Wet / Damp,Daylight: street lights present,Other,Pedestrian,Slight,Female,12,Car
2,May,7,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,52,Car
2,May,7,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,19,Car
1,May,20,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,15,Car
1,May,17,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,36,Car
1,May,19,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,6,Car
2,May,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,21,Car
2,May,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car
2,May,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Pedal cycle
1,May,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,26,Car
1,May,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,68,Bus or coach (17 or more passenger seats)
1,May,16,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Car
1,May,7,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,12,Car
2,May,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,17,Car
2,May,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,58,Car
2,May,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Car
2,May,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car
2,May,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Car
